Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
32043,76894,46 months,13.89%,2165.310153,CE,2 years,Rental,771216,Source Verified,20-06-2009,Purchase Car,21.71108061,0,5/7/04,,,10,0,92224,0.572675312,14,0,1/2/13,2181.920153,2356,???
28764,264138,45 months,10.81%,7166.127235,BD,6 years,Under Mortgage,1019537,Not Verified,13-03-2010,Agriculture,16.0348662,0,16-03-1997,,,14,0,154099,0.370027889,37,0,1/10/13,7645.837235,2109,???
32997,187034,57 months,12.54%,4371.585645,CA,3 years,Rental,393315,Not Verified,23-05-2011,Pay-off Other Loans,23.88242391,0,26-10-1999,74,,13,0,81157,0.405953651,38,0,1/10/11,4371.585645,3166,???
34929,79350,36 months,7.68%,2474.914303,AD,2 years,Under Mortgage,775199,Source Verified,21-07-2011,Pay Credit Card Bill,19.77892252,0,3/11/99,,,17,0,47713,0.132702184,25,0,1/5/14,2723.734303,891,???
31464,164900,38 months,8.04%,4929.761665,AD,1 year,Rental,390070,Verified,1/1/12,Pay-off Other Loans,17.34509775,0,25-11-2000,66,,6,0,126550,0.619238833,22,0,1/3/14,54806.73167,2673,???
39916,123045,38 months,17.14%,4218.551144,DC,2 years,Rental,403193,Not Verified,29-12-2011,Pay-off Other Loans,14.0741234,0,7/2/04,48,,2,0,84661,0.974041983,5,0,1/1/15,4332.181144,1849,???
29429,87821,43 months,8.32%,2368.81118,AE,3 years,Under Mortgage,771596,Source Verified,16-08-2011,Home Renovation,2.590718011,0,26-06-1996,,,5,0,110749,0.284228693,16,0,1/4/13,56689.78118,1375,???
36302,192360,51 months,17.06%,5328.532993,DD,10 years and above,Rental,1310779,Verified,19-06-2011,Agriculture,12.47771914,0,29-01-1995,,,7,0,139665,0.950461101,39,0,1/8/13,102431.913,2398,???
31122,274877,48 months,15.53%,7723.516524,DC,Less than 1 year,Under Mortgage,3290804,Not Verified,23-03-2010,Pay-off Other Loans,15.76202302,0,2/1/88,,,13,0,986551,0.763191308,24,0,1/9/13,45001.96652,1300,???
40123,110121,40 months,5.87%,3037.768673,AB,Less than 1 year,Rental,490734,Source Verified,25-09-2011,Pay-off Other Loans,21.69207035,0,4/6/05,,,13,0,87500,0.347474092,22,0,1/4/14,29226.12867,1466,???
30120,179395,48 months,14.81%,4975.829529,DB,10 years and above,Under Mortgage,683905,Verified,8/5/11,Pay Credit Card Bill,24.29349936,0,7/9/88,,,10,0,451267,0.785147313,37,0,1/1/13,4975.829529,1268,???
26893,52993,45 months,11.60%,1457.939776,BC,5 years,Under Mortgage,1795675,Source Verified,9/11/11,Home Renovation,5.573640444,0,6/7/01,59,96,12,1,259965,0.812807001,22,0,1/8/14,19695.05978,2758,???
24380,206887,60 months,13.55%,4766.288815,CA,10 years and above,Under Mortgage,641109,Verified,17-01-2012,Pay-off Other Loans,23.80069796,0,16-01-1988,,,7,0,326754,0.666423474,12,0,1/9/15,4766.288815,3511,???
24041,30159,38 months,12.83%,969.9792546,DA,2 years,Under Mortgage,643425,Not Verified,1/11/08,Pay Credit Card Bill,13.07681749,0,11/4/02,70,,12,0,33438,0.443610025,21,0,1/4/11,7794.929255,904,???
29068,88059,45 months,9.33%,2326.734496,AD,10 years and above,Own,491099,Not Verified,4/5/09,Pay-off Other Loans,15.26862291,0,14-03-1984,,,9,0,265538,0.479750985,22,0,1/1/13,2724.494496,2853,???
37258,159672,38 months,11.07%,5000.361731,BC,10 years and above,Own,395990,Source Verified,9/6/11,Others,21.6410397,0,31-01-1986,,,7,0,207309,0.764701768,12,0,1/6/14,5404.391731,1672,???
38789,39681,51 months,18.29%,1124.879905,FA,2 years,Rental,331615,Source Verified,11/3/11,Buy House,9.227447878,2,15-02-1993,16,,4,0,36349,0.955697199,21,645.5054518,1/1/12,1124.879905,293,???
29033,85717,38 months,9.09%,2604.303974,AE,10 years and above,Under Mortgage,1283339,Source Verified,14-12-2011,Medical,17.53620821,0,17-06-1998,,,16,0,708770,0.67254449,33,0,1/11/12,66858.27397,1162,???
26503,385165,60 months,15.41%,9246.296153,CE,10 years and above,Rental,698976,Verified,13-07-2011,Pay-off Other Loans,26.31596244,0,22-02-1990,26,,9,0,136749,0.554045168,33,0,1/9/15,9246.296153,3016,???
27914,164882,44 months,14.36%,4841.535875,CB,6 years,Under Mortgage,2113508,Verified,25-12-2011,Start Business,11.54064794,0,13-09-1989,57,,14,0,191612,0.732111566,24,0,1/7/15,4979.805875,2054,???
33399,39491,37 months,11.46%,1272.001074,BB,4 years,Under Mortgage,215185,Not Verified,22-10-2009,Education,3.843603549,0,16-11-2005,,,5,0,38022,0.224564736,4,0,1/4/10,26.25107414,2518,???
25407,197900,50 months,13.62%,5208.680464,CD,6 years,Under Mortgage,505086,Verified,26-03-2011,Pay-off Other Loans,15.25147955,0,25-12-2000,,,8,0,70508,0.60015536,31,0,1/6/10,5208.680464,507,???
33823,153824,56 months,16.73%,3975.732628,DB,3 years,Rental,1088726,Verified,17-11-2011,Pay-off Other Loans,13.2464624,0,25-12-1985,,,2,0,135896,0.903480965,10,0,1/7/14,78698.51263,2099,???
25839,46145,46 months,12.53%,1268.323865,CA,1 year,Under Mortgage,633070,Not Verified,1/4/11,Agriculture,14.82489594,2,19-07-1994,19,95,10,1,29581,0.580509937,19,0,1/12/14,1508.453865,3373,???
29172,242131,37 months,10.05%,7637.621684,BA,9 years,Under Mortgage,838991,Verified,19-05-2010,Pay-off Other Loans,20.32857329,0,28-03-1982,,,10,0,200154,0.412341728,23,0,1/10/12,53502.78168,2441,???
28668,33185,42 months,13.08%,988.9416683,CB,2 years,Rental,635737,Not Verified,6/3/10,Others,7.877884398,0,9/12/02,26,,10,0,16980,0.154874505,37,0,1/8/13,1036.461668,548,???
38319,104603,36 months,9.41%,3346.234462,AD,10 years and above,Under Mortgage,1158807,Not Verified,3/3/09,Home Renovation,14.05386616,0,4/7/95,,,15,0,118694,0.146465542,35,0,1/11/11,849.5644625,3797,???
30566,82378,37 months,9.60%,2581.019112,BD,1 year,Rental,798493,Not Verified,9/2/08,Start Business,16.18980525,0,27-11-1994,0,0,4,0,44000,0.44818384,6,0,1/2/09,2581.019112,1002,???
35285,220090,45 months,12.23%,6122.270971,BE,10 years and above,Rental,794595,Verified,29-07-2009,Pay-off Other Loans,14.36865917,0,20-01-1998,,,8,0,313630,0.606096742,24,0,1/6/10,6122.270971,1247,???
34050,126490,46 months,7.37%,3164.931028,AD,8 years,Under Mortgage,718134,Verified,3/6/11,Pay-off Other Loans,16.97220265,0,16-12-1991,,,9,0,79859,0.289651459,47,0,1/1/14,52527.65103,2019,???
26709,109840,39 months,11.02%,3363.722988,BA,10 years and above,Rental,724263,Not Verified,9/6/09,Others,19.40360066,0,9/6/00,,,10,0,225739,0.43321668,22,0,1/5/12,14183.76299,609,???
30543,220141,45 months,17.00%,6649.312143,EC,2 years,Rental,816812,Verified,4/4/11,Pay-off Other Loans,18.04615629,0,30-12-2003,,,7,0,247041,0.589330653,15,0,1/8/13,112359.6421,1093,???
36956,154148,37 months,7.32%,4666.377223,AD,10 years and above,Own,426264,Source Verified,28-05-2011,Pay-off Other Loans,24.72207034,0,13-06-2000,,,8,0,133532,0.39184329,27,0,1/11/12,81688.59722,3484,???
26977,140756,60 months,11.83%,3118.966426,BC,1 year,Rental,671484,Not Verified,19-01-2012,Pay-off Other Loans,21.35831882,0,22-11-1989,,,12,0,263959,0.586941682,37,0,1/9/15,3118.966426,1081,???
39628,220158,56 months,14.64%,5449.376669,CD,10 years and above,Under Mortgage,1040225,Verified,28-06-2011,Pay-off Other Loans,16.10005057,0,12/9/82,44,,14,0,86819,0.156030658,30,0,1/3/12,546.5666689,3747,???
37719,110072,36 months,6.46%,3371.46389,AD,9 years,Under Mortgage,849903,Source Verified,11/2/11,Pay-off Other Loans,15.86115077,0,16-06-1995,,,13,0,49655,0.506932501,21,0,1/1/11,110631.2539,1045,???
31630,220059,37 months,11.20%,7060.986588,BE,8 years,Rental,600307,Source Verified,16-02-2011,Pay-off Other Loans,15.99507558,2,6/4/00,20,,11,0,14924,0.181235896,12,0,1/9/12,119937.7066,1438,???
34752,165166,46 months,12.92%,4571.408814,CA,4 years,Rental,527455,Not Verified,23-01-2010,Pay-off Other Loans,15.86641107,0,28-12-2001,,,11,0,166941,0.602191903,16,0,1/2/13,47014.24881,3952,???
30289,88092,36 months,9.87%,2837.247176,BA,8 years,Rental,1180797,Not Verified,23-03-2010,Others,1.214678424,0,28-12-2000,,,3,0,46338,0.628331439,14,0,1/11/10,71269.45718,1992,???
37984,131891,41 months,10.69%,3854.020517,BC,Less than 1 year,Under Mortgage,721812,Verified,12/4/10,Pay Credit Card Bill,22.13216868,0,15-02-1997,,,16,0,214400,0.509042375,42,0,1/7/13,8402.960517,2421,???
26969,11176,42 months,14.66%,341.7892354,CC,1 year,Rental,268195,Not Verified,13-10-2011,Pay Credit Card Bill,19.55376505,0,25-02-2006,,,4,0,31280,0.718992665,8,0,1/3/15,357.7392354,573,???
27240,66029,43 months,14.64%,1982.551768,EC,6 years,Own,518461,Not Verified,7/4/08,Pay Credit Card Bill,21.79486575,0,20-06-1986,,,13,0,246720,0.592218057,19,0,1/10/11,2138.641768,2794,???
31142,132168,42 months,10.53%,3775.923567,BC,2 years,Rental,667470,Source Verified,27-03-2011,Pay Credit Card Bill,11.61661001,1,17-06-1989,15,,8,0,174702,0.857248041,22,0,1/8/11,132656.7636,564,???
31417,99037,55 months,13.18%,2408.554796,CA,5 years,Rental,651817,Not Verified,30-07-2011,Agriculture,15.54866703,0,21-07-1994,,,10,0,47024,0.189005703,26,0,1/3/12,82458.4148,3129,???
32774,145258,59 months,9.86%,3116.356083,BA,2 years,Under Mortgage,730840,Not Verified,17-11-2011,Purchase Car,20.83637696,0,10/2/02,,,6,0,114366,0.461597584,17,0,1/3/14,82225.05608,1205,???
35084,54956,37 months,14.93%,1862.482163,EC,10 years and above,Rental,574251,Not Verified,28-05-2008,Home Renovation,14.46986661,2,5/4/88,12,,7,0,59339,0.415958392,19,0,1/4/11,1876.782163,1029,???
27976,32990,60 months,15.22%,788.7215231,CD,8 years,Rental,622837,Not Verified,22-12-2011,Others,4.345748052,0,21-09-2006,35,,16,0,19153,0.188441632,25,0,1/9/15,788.7215231,3225,???
31763,66090,41 months,11.70%,1963.193307,BC,7 years,Rental,944731,Not Verified,13-11-2011,Others,7.379349849,0,24-03-1999,,,6,0,135268,0.795855347,30,0,1/5/14,4233.703307,2267,???
32175,88075,40 months,7.39%,2491.045425,AD,2 years,Under Mortgage,571524,Not Verified,23-05-2010,Pay-off Other Loans,12.81172405,0,9/4/01,,,8,0,79423,0.386383169,14,0,1/7/13,2753.065425,3380,???
29099,87904,50 months,11.85%,2236.292002,BE,8 years,Under Mortgage,502958,Not Verified,15-08-2010,Start Business,11.99607724,0,8/10/03,,,3,0,0,0,13,645.9373364,1/2/13,2236.292002,896,???
39086,160669,50 months,18.42%,4626.557093,FA,5 years,Under Mortgage,467146,Not Verified,9/3/11,Pay-off Other Loans,23.80398114,0,12/1/91,35,,16,0,200153,0.525415997,45,0,1/10/13,68953.67709,1726,???
33054,82500,45 months,15.14%,2414.030983,CD,4 years,Rental,490806,Source Verified,22-12-2011,Pay Credit Card Bill,6.367289159,0,26-03-2003,37,,6,0,83678,0.646348108,22,0,1/9/15,2542.730983,3583,???
34894,110010,39 months,10.22%,3326.999173,BC,10 years and above,Rental,1267541,Verified,1/4/11,Others,21.50290971,0,28-10-1985,,,20,0,176190,0.727226976,56,0,1/5/14,3402.019173,2091,???
25566,82679,41 months,13.69%,2536.25151,DD,10 years and above,Under Mortgage,609157,Not Verified,9/8/08,Home Renovation,15.27969491,0,25-03-1998,34,,13,0,194412,0.433734911,28,0,1/11/11,2538.01151,2701,???
27093,43968,44 months,10.26%,1203.106772,BC,8 years,Under Mortgage,499349,Not Verified,29-03-2011,Agriculture,13.30122453,0,10/2/03,57,,5,0,61803,0.600538464,12,0,1/4/12,38795.49677,2607,???
37162,55040,39 months,15.10%,1794.563834,DB,Less than 1 year,Rental,886511,Verified,4/9/10,Others,14.34941685,2,22-09-1996,21,,7,0,18461,0.638880239,11,183.9250341,1/12/13,173.2738339,2893,???
27499,54841,43 months,20.63%,1814.678449,GC,5 years,Rental,1967635,Not Verified,10/12/09,Pay-off Other Loans,0.146610931,0,12/8/98,,,4,0,5550,0.824944323,14,349.3293077,1/5/11,39725.18845,989,???
29444,110010,47 months,15.90%,3159.525985,DE,10 years and above,Rental,678268,Not Verified,18-01-2010,Others,8.791709438,0,15-04-1995,,,7,0,52047,0.369467074,28,0,1/2/13,36117.50599,309,???
27175,109985,48 months,11.54%,2871.769829,CB,3 years,Rental,313622,Not Verified,21-04-2008,Others,5.440547724,0,29-01-2001,46,53,1,1,35217,0.541388159,6,0,1/12/11,12554.84983,1778,???
33056,11083,41 months,14.23%,342.9221689,CE,Less than 1 year,Own,1107451,Not Verified,14-02-2010,Agriculture,3.404584215,0,16-02-1994,,,37,0,201797,0.090475667,51,0,1/6/10,11099.05217,26,???
34077,66179,39 months,12.89%,2086.108046,CA,4 years,Under Mortgage,855346,Source Verified,11/6/11,Pay Credit Card Bill,18.09352487,0,1/5/95,50,,14,0,90544,0.595455333,26,0,1/8/14,2160.248046,135,???
28033,16378,40 months,6.55%,456.8722186,AA,5 years,Under Mortgage,854346,Not Verified,30-03-2010,Pay Credit Card Bill,2.394550342,0,18-12-2000,,,10,0,43982,0.088722843,15,0,1/1/12,8650.112219,1835,???
27184,132049,59 months,12.50%,3007.374759,BE,4 years,Under Mortgage,451127,Not Verified,27-11-2011,Home Renovation,25.17799087,0,3/5/99,,,5,0,67608,0.567199092,15,0,1/12/13,83738.68476,134,???
33482,13296,48 months,18.90%,396.8501142,FC,5 years,Rental,260056,Not Verified,5/4/11,Relocation,24.69917131,0,13-05-2007,,,2,0,26009,0.986562595,6,0,1/3/15,36.19,2370,???
35888,107687,44 months,13.17%,3098.919092,CB,Less than 1 year,Under Mortgage,649219,Verified,27-01-2010,Agriculture,5.600204266,0,7/1/03,38,75,8,1,109625,0.371827887,24,0,1/4/13,14022.35909,3593,???
24039,190657,47 months,18.14%,5696.44567,GD,6 years,Under Mortgage,1272085,Not Verified,7/3/08,Pay-off Other Loans,21.17693885,0,22-12-1988,48,0,38,0,813563,0.624611209,61,0,1/12/11,5945.81567,2369,???
32083,209077,48 months,16.22%,5948.351357,EC,3 years,Rental,450521,Verified,18-05-2009,Purchase Car,16.73632839,0,27-01-2005,,,8,0,110876,0.248542966,12,0,1/7/10,196440.5214,3706,???
31078,109927,48 months,7.69%,2667.552286,AC,2 years,Rental,485561,Source Verified,8/12/11,Pay-off Other Loans,22.95918856,0,12/7/04,41,,10,0,64722,0.313231675,21,0,1/2/15,29433.52229,2380,???
38964,60579,36 months,11.04%,1984.292254,BC,1 year,Rental,268628,Not Verified,7/9/11,Pay-off Other Loans,23.02487333,0,23-11-2003,43,,7,0,85947,0.645708964,22,0,1/8/14,2275.682254,3568,???
39305,99152,45 months,13.33%,2811.729195,CA,7 years,Under Mortgage,554939,Source Verified,30-01-2012,Pay-off Other Loans,1.708823867,3,7/10/02,15,,4,0,27617,0.436663069,18,0,1/8/15,2908.199195,1017,???
28427,148372,54 months,19.77%,4169.622831,EE,10 years and above,Rental,351798,Not Verified,30-09-2011,Pay-off Other Loans,14.7032958,0,26-05-2004,,,5,0,146008,0.95431486,5,0,1/1/12,4169.622831,1122,???
36933,164921,38 months,11.66%,5211.281185,BC,5 years,Rental,350822,Verified,18-09-2009,Pay Credit Card Bill,12.89128695,0,11/8/92,,,5,0,181474,0.423701191,9,0,1/2/10,150735.2312,3326,???
27747,198029,48 months,17.26%,5741.315983,ED,9 years,Under Mortgage,938135,Not Verified,22-12-2009,Pay Credit Card Bill,23.10841684,0,6/6/93,,,12,0,124798,0.909266207,19,0,1/11/13,5895.755983,1870,???
24321,153944,58 months,17.37%,3940.329702,EE,10 years and above,Under Mortgage,1160325,Not Verified,21-01-2011,Home Renovation,19.82935078,1,4/11/94,19,,15,0,109639,0.640302989,41,0,1/12/13,73704.4197,371,???
40227,131904,42 months,14.76%,4040.361998,CD,Less than 1 year,Rental,258939,Verified,28-07-2011,Agriculture,4.631457909,0,9/12/06,,,3,0,39213,0.380396105,6,0,1/9/12,108347.202,1827,???
34135,98993,48 months,6.72%,2357.463958,AB,10 years and above,Rental,481234,Not Verified,2/6/10,Pay-off Other Loans,22.35068968,0,14-01-1998,,,6,0,43423,0.245344599,34,0,1/4/14,2751.263958,3213,???
34806,66199,40 months,9.44%,1935.475138,BB,2 years,Under Mortgage,1208397,Not Verified,8/2/08,Pay Credit Card Bill,16.82956452,0,4/2/85,0,0,16,0,739688,0.408345629,33,0,1/4/11,1947.465138,3038,???
33035,27338,38 months,7.66%,812.5103085,AE,2 years,Rental,1332894,Source Verified,5/4/11,Pay-off Other Loans,0.832055481,0,16-08-1995,37,,7,0,34832,0.540733715,9,0,1/4/14,901.1703085,1706,???
24265,59382,38 months,9.05%,1803.188746,AE,10 years and above,Under Mortgage,412671,Verified,1/12/11,Others,29.35670038,0,15-03-1987,,,23,0,292598,0.359915171,40,0,1/12/14,1845.758746,3557,???
27008,164971,44 months,11.13%,4583.034149,BC,5 years,Under Mortgage,429526,Source Verified,29-08-2011,Others,8.097058578,0,18-03-1985,27,,10,0,94244,0.362672754,11,0,1/2/15,10313.26415,1973,???
28293,43960,44 months,9.92%,1195.958971,BD,6 years,Under Mortgage,383834,Not Verified,10/2/11,Pay Credit Card Bill,22.53006044,0,26-12-2002,,,13,0,54865,0.198970889,18,0,1/6/13,19968.44897,3252,???
32101,105800,37 months,11.69%,3419.325839,BC,1 year,Rental,763011,Source Verified,12/10/11,Pay-off Other Loans,20.5333263,0,13-06-1998,,,8,0,128384,0.860267518,23,0,1/2/12,99058.71584,1687,???
37982,63244,37 months,13.84%,2109.578661,CE,3 years,Under Mortgage,578696,Verified,29-04-2009,Pay-off Other Loans,18.81483669,0,3/5/94,28,,7,0,67840,0.919493211,24,0,1/3/12,2154.238661,3773,???
29719,93323,38 months,13.93%,3051.383052,CD,5 years,Rental,433886,Verified,16-01-2010,Pay-off Other Loans,15.66563005,0,16-11-2004,,,12,0,142182,0.657686579,17,0,1/9/11,3051.383052,2753,???
31835,385092,48 months,13.05%,10340.10018,CB,2 years,Under Mortgage,1108845,Source Verified,10/4/11,Pay-off Other Loans,20.67232841,0,15-05-1995,,,21,0,344551,0.534975277,45,0,1/2/15,2071.620178,3434,???
25417,65926,38 months,11.31%,2072.245908,BD,3 years,Own,260826,Not Verified,3/7/10,Home Renovation,10.36015218,0,29-05-1985,69,,21,0,42716,0.170921733,39,0,1/3/13,2212.715908,1967,???
33292,54949,60 months,13.09%,1252.735836,CB,2 years,Rental,308134,Source Verified,9/5/11,Pay-off Other Loans,8.210823122,0,24-11-2001,,,21,0,88346,0.389066717,26,0,1/10/12,1252.735836,2627,???
31598,153806,43 months,6.10%,3991.349413,AA,5 years,Under Mortgage,439446,Not Verified,20-11-2011,Pay-off Other Loans,17.21290424,0,28-08-2003,,,9,0,26334,0.143284792,34,0,1/4/15,4048.109413,2861,???
38801,132145,49 months,16.34%,3713.644123,EB,10 years and above,Under Mortgage,520474,Not Verified,18-12-2010,Pay-off Other Loans,15.1775158,0,29-05-1999,74,,4,0,90625,0.783831793,14,0,1/5/11,106697.1841,3351,???
24642,23157,42 months,13.07%,690.0312934,CB,Less than 1 year,Rental,160638,Not Verified,23-02-2010,Others,18.73556346,0,28-02-2005,41,,6,0,47866,0.634200306,10,0,1/6/12,10127.48129,66,???
32633,76817,40 months,7.31%,2169.560191,AD,4 years,Under Mortgage,471225,Not Verified,8/6/11,Pay-off Other Loans,23.48898704,0,28-02-2004,,,19,0,79302,0.487990066,49,0,1/4/14,11871.23019,1490,???
29431,344491,42 months,11.59%,10016.13315,BC,5 years,Under Mortgage,637715,Verified,2/11/11,Start Business,18.8427548,0,31-12-1999,,,8,0,40845,0.176744893,20,0,1/7/14,108009.9631,2423,???
25765,61719,44 months,12.88%,1767.170649,CB,1 year,Under Mortgage,185967,Verified,15-07-2009,Medical,10.09441755,0,4/12/05,,,5,0,34737,0.671224955,6,0,1/9/12,11827.44065,3091,???
28965,55132,38 months,12.95%,1776.210464,CA,Less than 1 year,Under Mortgage,583004,Not Verified,21-12-2009,Home Renovation,16.44810203,0,3/4/00,,,7,0,15534,0.627045748,17,0,1/4/12,1776.210464,3308,???
28605,101944,50 months,16.50%,2832.9478,EA,10 years and above,Under Mortgage,391435,Source Verified,1/2/11,Pay-off Other Loans,22.06211335,0,26-10-1998,,,16,0,95526,0.325565485,24,0,1/11/10,95354.6078,902,???
35575,52863,42 months,13.12%,1576.34695,CA,1 year,Rental,587765,Not Verified,27-08-2011,Pay-off Other Loans,21.65394422,1,28-02-1997,23,105,15,1,91341,0.52200996,35,0,1/8/12,43769.15695,2772,???
40415,16421,39 months,5.60%,461.5392585,AB,3 years,Rental,380180,Not Verified,4/5/11,Pay-off Other Loans,27.6257839,0,3/12/86,,,15,0,5483,0.032450581,49,0,1/11/12,10006.45926,715,???
36060,26510,39 months,8.53%,780.7398816,AE,6 years,Rental,437868,Not Verified,2/6/11,Pay-off Other Loans,3.313390215,0,25-02-2000,40,,5,0,34785,0.37841889,13,0,1/2/12,12525.54988,3213,???
27710,220078,42 months,13.31%,6583.825875,CB,3 years,Rental,883303,Not Verified,31-07-2011,Pay Credit Card Bill,18.38088642,0,21-06-2001,,,8,0,241446,0.704445202,17,0,1/1/14,77153.88587,2016,???
32696,66030,39 months,12.89%,2081.399649,BE,4 years,Under Mortgage,440501,Not Verified,19-12-2011,Pay-off Other Loans,5.413755919,0,11/8/00,,92,4,1,74928,0.605224846,14,0,1/1/13,50548.27965,2422,???
35274,49641,43 months,5.50%,1274.564063,AA,10 years and above,Under Mortgage,1098688,Not Verified,19-07-2011,Home Renovation,14.20074578,0,16-07-1996,,,14,0,189615,0.535425806,39,0,1/2/14,15975.51406,2884,???
37203,175898,39 months,15.49%,5768.69331,DC,2 years,Rental,1036047,Not Verified,5/4/10,Pay-off Other Loans,10.39616418,0,9/6/04,,,10,0,114579,0.790091713,15,0,1/5/13,5926.10331,1568,???
36164,53724,44 months,14.23%,1574.203479,CE,10 years and above,Rental,710387,Verified,21-11-2009,Pay-off Other Loans,12.64424923,0,15-01-2007,,,6,0,29751,0.466406948,14,0,1/1/12,26547.83348,1544,???
29643,47730,43 months,10.67%,1340.584289,BB,2 years,Rental,572260,Source Verified,3/9/10,Others,17.83606501,0,10/4/98,66,,9,0,37198,0.1387536,18,0,1/12/11,38445.45429,3734,???
39371,109888,41 months,15.54%,3471.071823,EA,2 years,Under Mortgage,623479,Verified,6/4/09,Home Renovation,8.095850237,0,10/11/01,48,,6,0,20482,0.355697875,14,0,1/3/10,3471.071823,1373,???
28989,65828,38 months,10.95%,2057.784573,BC,3 years,Rental,652716,Verified,19-07-2011,Relocation,18.44064629,0,16-04-2006,,,6,0,81606,0.834831001,13,0,1/12/13,231.2345728,770,???
36937,60351,46 months,10.91%,1611.372678,BC,3 years,Under Mortgage,488389,Not Verified,11/6/11,Agriculture,24.11606788,1,17-04-1999,10,,9,0,434911,0.710345962,12,0,1/10/12,50381.19268,3182,???
26941,54926,44 months,12.88%,1572.795311,CC,2 years,Rental,271515,Not Verified,20-02-2011,Pay-off Other Loans,8.328063363,0,26-03-2007,,,6,0,50052,0.707481585,10,0,1/8/14,1639.015311,1735,???
26582,76837,38 months,12.97%,2476.237222,CB,2 years,Rental,159620,Not Verified,25-07-2009,Others,2.993320415,0,30-07-2006,,,5,0,37720,0.18649851,5,0,1/11/09,2476.237222,169,???
27190,21920,40 months,7.21%,618.0987404,AD,Less than 1 year,Rental,475998,Source Verified,7/3/11,Pay-off Other Loans,5.790599516,0,29-08-2005,,,4,0,11777,0.674580541,9,0,1/5/12,15300.45874,1071,???
24411,77110,48 months,13.52%,2088.449522,CA,10 years and above,Under Mortgage,1365517,Verified,3/12/11,Pay-off Other Loans,23.62539224,1,2/1/85,10,,17,0,1114520,0.832040374,42,0,1/11/15,2215.389522,2918,???
31365,43812,47 months,7.20%,1072.548249,AC,6 years,Under Mortgage,337920,Verified,25-06-2010,Home Renovation,18.9423159,0,25-04-1994,,,9,0,115678,0.290169281,29,0,1/3/14,1194.318249,3358,???
30535,65966,42 months,9.94%,1865.95786,BA,Less than 1 year,Under Mortgage,998248,Not Verified,5/1/12,Pay Credit Card Bill,21.44673111,0,11/8/02,76,,14,0,304071,0.573187287,27,0,1/1/15,10287.88786,1226,???
24353,132192,54 months,10.91%,3108.662027,BD,6 years,Rental,336760,Not Verified,16-03-2011,Relocation,22.91317663,0,11/11/03,,,5,0,81101,0.641217387,11,0,1/5/13,69094.47203,2026,???
30517,46130,41 months,14.81%,1440.441202,CE,3 years,Rental,324567,Source Verified,5/8/10,Pay-off Other Loans,18.054846,0,28-08-2007,,,6,0,17611,0.745407922,6,152.5177202,1/8/12,1440.441202,2447,???
37580,55150,46 months,10.62%,1464.802128,BD,10 years and above,Rental,385611,Source Verified,27-04-2011,Holiday,8.605176202,0,8/11/95,40,,7,0,128646,0.690249571,27,0,1/1/15,1599.882128,130,???
31875,164861,60 months,15.63%,3976.448518,DC,2 years,Rental,675861,Verified,22-08-2010,Pay-off Other Loans,19.79061065,0,3/4/04,,,10,0,179577,0.692601139,17,0,1/6/15,4228.238518,3369,???
24547,26448,48 months,9.96%,670.2515676,BA,Not available,Rental,100647,Not Verified,26-12-2011,Pay Credit Card Bill,8.04064874,0,10/6/93,34,,6,0,20414,0.136677891,10,0,1/3/15,3039.761568,452,???
25240,109997,41 months,12.03%,3285.036266,BE,4 years,Under Mortgage,453130,Not Verified,31-07-2011,Others,22.33224766,0,8/3/98,,,14,0,199486,0.642737963,34,0,1/8/13,53955.76627,3224,???
36450,121055,43 months,11.18%,3429.840782,BC,4 years,Under Mortgage,888147,Not Verified,11/10/11,Pay-off Other Loans,4.574112645,0,19-08-1999,69,,11,0,44719,0.38398607,31,0,1/9/13,69066.18078,382,???
28681,54924,38 months,8.33%,1649.298334,AE,10 years and above,Under Mortgage,353786,Not Verified,28-09-2011,Pay Credit Card Bill,8.611168692,0,17-09-1992,,,8,0,14072,0.071385364,47,0,1/9/14,1825.628334,1551,???
37254,54907,46 months,17.77%,1654.471698,EE,3 years,Rental,255801,Source Verified,21-07-2010,Pay-off Other Loans,4.635883542,0,28-02-2006,,,4,0,49751,0.828182686,6,0,1/2/14,3731.711698,1005,???
36498,137546,44 months,11.51%,3846.512451,BE,Less than 1 year,Under Mortgage,901723,Not Verified,13-11-2008,Start Business,14.46644112,0,18-07-1992,,,11,0,461733,0.627299438,26,232.4899922,1/6/12,124.74,2250,???
35842,19717,57 months,15.54%,491.3181698,DE,4 years,Under Mortgage,430468,Not Verified,13-12-2010,Others,16.16601676,0,30-11-1996,42,,8,0,96225,0.757229568,17,0,1/3/11,18698.84817,247,???
